number	value fitness deviation
  328,	77025.725,42387.210,7800.146


  329,	77025.725,43401.147,8369.732


  330,	77025.725,45300.783,8286.062


  331,	77025.725,45508.967,8114.921


  332,	77025.725,47303.465,6904.332


  333,	77025.725,46708.775,7781.431


  334,	77025.725,47976.291,7629.764


  335,	77025.725,44815.673,6301.216


  336,	77025.725,44764.418,8702.217


  337,	77025.725,45142.294,10519.544


  338,	77025.725,45899.328,11471.611


  339,	77025.725,43482.593,11042.088


  340,	77025.725,43153.912,9024.296


  341,	77025.725,43954.690,8982.662


  342,	77025.725,41136.615,7840.097


  343,	77025.725,41755.524,8893.465


  344,	77025.725,42771.412,9121.711


  345,	77025.725,41522.176,9628.474


  346,	77025.725,41726.264,10738.123


  347,	77025.725,42227.871,8261.696


  348,	77025.725,43484.008,9081.842


  349,	77025.725,43468.499,8736.436


  350,	77025.725,44225.123,8899.232


  351,	77025.725,46501.694,8548.215


  352,	77025.725,45872.068,8744.840


  353,	77025.725,43883.852,8796.072


  354,	77025.725,43180.921,9486.544


  355,	77025.725,41362.407,7546.573


  356,	77025.725,40676.104,6153.038


  357,	77025.725,39631.062,7199.130


  358,	77025.725,42213.519,6854.407


  359,	77025.725,42433.392,7945.896


  360,	77025.725,43088.633,7518.367


  361,	77025.725,43781.310,9306.508


  362,	77025.725,42840.340,9353.396


  363,	77025.725,43288.641,8804.083


  364,	77025.725,44085.764,8739.091


  365,	77025.725,45470.219,7530.682


  366,	77025.725,46019.696,7025.887


  367,	77025.725,44369.466,7362.601


  368,	77025.725,45117.305,8485.122


  369,	77025.725,43432.741,7074.607


  370,	77025.725,43964.098,9441.523


  371,	77025.725,46472.383,8065.181


  372,	77025.725,45729.061,8751.146


  373,	77025.725,47519.325,8651.163


  374,	77025.725,48358.099,7900.626


  375,	77025.725,46717.819,8385.731


  376,	77025.725,46606.913,9372.530


  377,	77025.725,48773.758,8524.937


  378,	77025.725,49282.089,8626.394


  379,	77025.725,47350.800,8846.454


  380,	77025.725,47676.619,9274.706


  381,	77025.725,46748.841,10101.097


  382,	77025.725,44092.847,10010.235


  383,	77025.725,43934.944,10912.867


  384,	77025.725,43587.867,11408.811


  385,	77025.725,43568.910,7888.405


  386,	77025.725,45013.611,8821.638


  387,	77025.725,45033.258,9379.458


  388,	77025.725,48056.752,8717.512


  389,	77025.725,46186.184,9710.161


  390,	77025.725,42303.086,10203.857


  391,	77025.725,42764.091,10726.466


  392,	77025.725,44601.983,9847.098


  393,	77025.725,42446.264,10942.240


  394,	77025.725,42133.921,7614.495


  395,	77025.725,42470.584,8804.097


  396,	77025.725,41799.949,7499.165


  397,	77025.725,39180.113,7602.934


  398,	77025.725,36215.376,7478.415


  399,	77025.725,36617.461,7645.302


  400,	77025.725,38251.270,10078.040


  401,	77025.725,39967.154,8339.741


  402,	77025.725,41401.249,6177.532


  403,	77025.725,41599.237,8768.548


  404,	77025.725,42557.347,8644.343


  405,	77025.725,42457.765,9606.518


  406,	77025.725,42476.903,9264.319


  407,	77025.725,41553.892,9692.969


  408,	77025.725,40463.606,9858.504


  409,	77025.725,43293.827,7820.748


  410,	77025.725,44796.901,8265.814


  411,	77025.725,42066.090,9507.887


  412,	77025.725,44255.721,9064.219


  413,	77025.725,44145.261,9670.662


  414,	77025.725,43860.416,9417.114


  415,	77025.725,43519.207,7576.519


  416,	77025.725,43019.647,8748.380


  417,	77025.725,44955.237,9147.948


  418,	77025.725,47692.196,8636.070


  419,	77025.725,46165.488,9426.204


  420,	77025.725,45434.692,8522.364


  421,	77025.725,45049.106,8816.745


  422,	77025.725,43336.602,7681.017


  423,	77025.725,42763.947,6985.376


  424,	77025.725,41124.397,7190.774


  425,	77025.725,41149.001,8099.559


  426,	77025.725,44544.000,7320.973


  427,	77025.725,44862.105,7503.052


  428,	77025.725,43486.708,7437.446


  429,	77025.725,41559.420,6594.952


  430,	77025.725,42352.416,8201.633


  431,	77025.725,40656.264,9598.486


  432,	77025.725,40961.775,7915.683


  433,	77025.725,38866.676,7246.364


  434,	77025.725,40060.936,7712.420


  435,	77025.725,40294.812,7994.181


  436,	77025.725,39108.486,6683.188


  437,	77025.725,39765.780,8405.430


  438,	77025.725,37480.196,10363.034


  439,	77025.725,36538.590,7039.112


  440,	77025.725,37638.198,6125.724


  441,	77025.725,38216.597,7178.338


  442,	77025.725,37841.008,7650.366


  443,	77025.725,35888.362,8132.652


  444,	77025.725,37897.835,10436.656


  445,	77025.725,40891.448,10721.710


  446,	77025.725,39957.862,9854.497


  447,	77025.725,41647.938,7599.700


  448,	77025.725,41825.478,7831.098


  449,	77025.725,42674.701,8632.437


  450,	77025.725,44241.201,6857.791


  451,	77025.725,43724.494,6731.833


  452,	77025.725,40896.471,7892.142


  453,	77025.725,40054.942,9269.077


  454,	77025.725,43189.589,11507.122


  455,	77025.725,44661.292,10029.214


  456,	77025.725,45282.169,8038.363


  457,	77025.725,46950.567,9459.908


  458,	77025.725,46947.069,8261.464


  459,	77025.725,47390.752,7566.748


  460,	77025.725,47786.737,8327.696


  461,	77025.725,46272.680,7723.526


  462,	77025.725,44443.560,8306.787


  463,	77025.725,42012.756,8749.399


  464,	77025.725,39895.347,9142.347


  465,	77025.725,40938.696,9004.368


  466,	77025.725,41769.988,9556.853


  467,	77025.725,42409.403,11880.575


  468,	77025.725,44515.619,9288.388


  469,	77025.725,42149.821,9383.367


  470,	77025.725,40426.832,9540.082


  471,	77025.725,40193.453,10823.990


  472,	77025.725,42136.276,10170.204


  473,	77025.725,43183.344,9543.870


  474,	77025.725,43114.726,8623.645


  475,	77025.725,42288.185,9993.725


  476,	77025.725,43499.862,8499.066


  477,	77025.725,43972.268,8820.166


  478,	77025.725,43795.835,9028.120


  479,	77025.725,43730.154,8464.853


  480,	77025.725,41895.986,7528.708


  481,	77025.725,41396.881,9401.727


  482,	77025.725,42489.997,9582.177


  483,	77025.725,43316.949,11596.255


  484,	77025.725,46112.602,9235.294


  485,	77025.725,47281.690,9542.003


  486,	77025.725,44950.930,9643.613


  487,	77025.725,45695.887,12267.137


  488,	77025.725,47248.708,11249.211


  489,	77025.725,45584.006,11987.187


  490,	77025.725,46703.520,11488.793


  491,	77025.725,47530.013,10861.053


  492,	77025.725,49056.201,10676.460


  493,	77025.725,49319.770,10679.632


  494,	77025.725,48676.939,8948.742


  495,	77025.725,48296.548,8876.765


  496,	77025.725,48532.683,6930.761


  497,	77025.725,48513.442,7101.049


  498,	77025.725,47191.984,6501.640


  499,	77025.725,44133.186,9339.990


  500,	77025.725,43380.205,9357.119


  501,	77025.725,43136.245,8677.986


  502,	77025.725,44094.052,9129.112


  503,	77025.725,44471.086,9790.613


  504,	77025.725,44270.138,11798.773


  505,	77025.725,47053.445,10926.196


  506,	77025.725,44542.456,8967.324


  507,	77025.725,46795.997,7674.110


  508,	77025.725,47226.566,8498.023


  509,	77025.725,47915.775,8464.067


  510,	77025.725,48169.060,8278.702


  511,	77025.725,45715.827,11068.451


  512,	77025.725,46922.165,8683.194


  513,	77025.725,47654.952,8355.086


  514,	77025.725,44916.542,9608.084


  515,	77025.725,42374.564,9097.908


  516,	77025.725,42992.814,8734.739


  517,	77025.725,43633.101,8667.948


  518,	77025.725,42167.315,8604.764


  519,	77025.725,41838.269,7632.319


  520,	77025.725,40383.631,7607.175


  521,	77025.725,39606.797,9281.309


  522,	77025.725,40333.951,9627.911


  523,	77025.725,42280.932,10187.809


  524,	77025.725,44035.358,9152.637


  525,	77025.725,44586.365,9117.277


  526,	77025.725,46198.612,9614.585


  527,	77025.725,48177.358,9081.840


  528,	77025.725,46035.229,10123.651


  529,	77025.725,46356.495,10640.318


  530,	77025.725,44675.454,7696.064


  531,	77025.725,43398.430,6427.214


  532,	77025.725,42148.138,7285.740


  533,	77025.725,43802.895,8885.626


  534,	77025.725,43075.009,9121.410


  535,	77025.725,42556.633,8993.206


  536,	77025.725,44025.778,10040.666


