number	value fitness deviation
  444,	771918.271,42236.012,7413.596


  445,	771918.271,43609.803,7713.460


  446,	771918.271,42312.027,7286.648


  447,	771918.271,42703.939,8784.934


  448,	771918.271,42214.138,9614.357


  449,	771918.271,41974.462,8201.518


  450,	771918.271,41921.708,7419.376


  451,	771918.271,43152.442,7309.843


  452,	771918.271,42611.285,7110.456


  453,	771918.271,44032.223,7073.637


  454,	771918.271,42519.154,7331.059


  455,	771918.271,43752.490,5344.151


  456,	771918.271,44216.340,8471.220


  457,	771918.271,43745.537,8541.446


  458,	771918.271,44004.286,6681.968


  459,	771918.271,42898.055,6901.706


  460,	771918.271,42195.798,5811.543


  461,	771918.271,41308.712,7889.619


  462,	771918.271,40789.752,8837.291


  463,	771918.271,40390.068,8835.820


  464,	771918.271,41217.747,7859.961


  465,	771918.271,43245.027,7548.502


  466,	771918.271,43509.447,9024.085


  467,	771918.271,43956.569,7523.396


  468,	771918.271,41973.048,6240.255


  469,	771918.271,43028.523,6730.146


  470,	771918.271,41964.579,5691.120


  471,	771918.271,41781.537,6568.361


  472,	771918.271,44575.361,9919.742


  473,	771918.271,45423.737,10559.546


  474,	771918.271,45679.186,9906.691


  475,	771918.271,43916.047,10120.181


  476,	771918.271,44372.550,9578.985


  477,	771918.271,44266.443,10588.772


  478,	771918.271,44159.288,8623.047


  479,	771918.271,45877.249,8181.770


  480,	771918.271,46579.939,8182.703


  481,	771918.271,47216.204,9476.340


  482,	771918.271,45776.109,7709.591


  483,	771918.271,42189.658,8352.846


  484,	771918.271,42538.859,8605.124


  485,	771918.271,40990.813,8354.768


  486,	771918.271,42902.191,7028.444


  487,	771918.271,42694.772,7775.193


  488,	771918.271,41241.264,7597.658


  489,	771918.271,39674.373,9256.601


  490,	771918.271,39551.493,8341.965


  491,	771918.271,39356.408,8231.939


  492,	771918.271,40374.842,9224.663


  493,	771918.271,42364.052,8356.396


  494,	771918.271,42164.912,8413.636


  495,	771918.271,43758.195,10176.020


  496,	771918.271,46381.264,7645.258


  497,	771918.271,44442.757,8736.546


  498,	771918.271,44699.684,7502.626


  499,	771918.271,45221.874,6516.502


  500,	771918.271,45705.709,6907.932


  501,	771918.271,42770.628,6970.117


  502,	771918.271,41853.106,8777.038


  503,	771918.271,42173.830,8155.904


  504,	771918.271,42338.938,7514.027


  505,	771918.271,39242.300,7831.489


  506,	771918.271,41563.391,8142.144


  507,	771918.271,42372.675,9147.728


  508,	771918.271,38526.733,7509.344


  509,	771918.271,40256.490,6907.495


  510,	771918.271,40850.967,6376.060


  511,	771918.271,42736.024,8499.895


  512,	771918.271,41753.944,9420.899


  513,	771918.271,40819.338,8417.453


  514,	771918.271,40912.817,10133.979


  515,	771918.271,42360.607,7648.413


  516,	771918.271,40171.989,7796.260


  517,	771918.271,40972.606,7046.388


  518,	771918.271,40955.768,7127.531


  519,	771918.271,43225.264,10616.224


  520,	771918.271,44060.792,9093.238


  521,	771918.271,43792.301,7662.985


  522,	771918.271,41086.687,7922.495


  523,	771918.271,42347.124,8300.486


  524,	771918.271,43184.162,11419.189


  525,	771918.271,45807.820,10456.656


  526,	771918.271,47003.119,13405.039


  527,	771918.271,47559.515,10740.192


  528,	771918.271,46737.637,9448.853


  529,	771918.271,49301.285,8659.511


  530,	771918.271,44838.952,10300.884


  531,	771918.271,43846.764,9609.516


  532,	771918.271,41764.188,10161.234


  533,	771918.271,41728.491,11461.048


  534,	771918.271,43098.116,10404.416


  535,	771918.271,43228.154,8945.369


  536,	771918.271,40277.990,6737.283


  537,	771918.271,38862.021,6945.431


  538,	771918.271,39420.701,8343.085


  539,	771918.271,38890.539,8332.108


  540,	771918.271,38754.844,7600.804


  541,	771918.271,41591.650,8922.369


  542,	771918.271,40667.587,9080.127


  543,	771918.271,40613.168,7974.109


  544,	771918.271,40480.141,8944.216


  545,	771918.271,41944.382,5933.268


  546,	771918.271,43189.288,9210.144


  547,	771918.271,44727.770,10512.791


  548,	771918.271,43889.038,7984.441


  549,	771918.271,42437.047,8100.647


  550,	771918.271,42725.399,7983.837


  551,	771918.271,43418.768,9963.786


  552,	771918.271,44297.280,8591.433


  553,	771918.271,46627.733,8743.622


  554,	771918.271,47466.338,8659.908


